crop,season,rainfall,soil_type,land_size,estimated_water_need,risk_level
cotton,kharif,moderate,black,5.64,6429.6,High
groundnut,summer,high,sandy,1.94,1210.56,Low
sugarcane,summer,moderate,clay,8.75,14175.0,High
soybean,rabi,moderate,clay,7.71,4163.4,Medium
vegetables,kharif,high,black,4.85,2211.6,Low
millets,kharif,high,loamy,0.51,183.6,Low
cotton,rabi,moderate,clay,2.36,2548.8,Low
soybean,kharif,moderate,sandy,5.51,3967.2,Medium
paddy,summer,low,clay,9.94,15029.28,High
groundnut,kharif,moderate,loamy,8.93,5804.5,Medium
sugarcane,rabi,low,sandy,1.32,3421.44,Medium
groundnut,summer,moderate,sandy,3.07,2394.6,Low
millets,rabi,high,loamy,9.68,3484.8,Medium
millets,summer,high,clay,1.83,592.92,Low
sunflower,kharif,low,clay,7.17,3871.8,Medium
soybean,summer,moderate,clay,0.68,367.2,Low
sunflower,rabi,moderate,loamy,2.15,1075.0,Low
maize,rabi,moderate,clay,6.84,4309.2,Medium
groundnut,rabi,high,black,4.79,2366.26,Low
millets,summer,high,clay,1.71,554.04,Low
vegetables,rabi,low,black,3.22,2202.48,Low
paddy,kharif,high,black,6.24,6639.36,High
millets,summer,low,black,1.26,646.38,Low
soybean,kharif,low,black,3.1,2120.4,Low
millets,rabi,moderate,loamy,4.21,1894.5,Low
sunflower,summer,low,black,8.09,4611.3,Medium
sugarcane,rabi,low,clay,2.31,4490.64,Medium
groundnut,summer,moderate,clay,8.07,4720.95,Medium
cotton,summer,high,loamy,7.51,7209.6,High
soybean,summer,low,sandy,8.98,7758.72,High
wheat,rabi,moderate,loamy,1.49,1341.0,Low
millets,rabi,moderate,loamy,9.72,4374.0,Medium
sugarcane,kharif,high,clay,4.71,6104.16,High
groundnut,summer,moderate,black,1.31,808.92,Low
vegetables,kharif,low,sandy,9.34,8069.76,High
cotton,rabi,low,clay,1.72,2229.12,Low
cotton,rabi,low,black,5.54,7578.72,High
millets,summer,low,loamy,0.73,394.2,Low
sugarcane,kharif,moderate,clay,5.81,9412.2,High
soybean,summer,low,clay,6.99,4529.52,Medium
groundnut,rabi,low,sandy,7.38,6907.68,High
wheat,rabi,low,clay,2.28,2216.16,Low
sunflower,kharif,high,black,4.69,1782.2,Low
wheat,kharif,low,clay,2.39,2323.08,Low
maize,rabi,moderate,black,6.59,4382.35,Medium
sunflower,kharif,high,black,4.33,1645.4,Low
