water_source,area_type,tds,bacteria_level,turbidity,safety_status
borewell,semi-urban,166,79,7,Safe
borewell,urban,438,32,16,Safe
pond,semi-urban,362,43,13,Unsafe
well,semi-urban,1462,85,7,Warning
river,semi-urban,438,35,13,Unsafe
borewell,urban,926,64,2,Safe
well,rural,1350,37,19,Warning
well,urban,904,82,2,Warning
pond,rural,1168,64,19,Unsafe
well,semi-urban,866,77,6,Warning
well,urban,440,74,8,Warning
tap,urban,1334,65,7,Safe
borewell,rural,294,85,1,Safe
well,rural,367,62,12,Warning
tap,rural,1340,72,14,Warning
borewell,urban,832,89,9,Warning
borewell,semi-urban,1497,35,5,Safe
tap,urban,622,57,6,Safe
pond,urban,276,92,15,Unsafe
river,urban,677,9,7,Warning
tanker,urban,1361,92,10,Unsafe
river,rural,610,32,13,Unsafe
tap,urban,259,47,5,Safe
pond,semi-urban,271,4,6,Warning
river,semi-urban,615,28,7,Warning
river,rural,341,44,7,Warning
borewell,semi-urban,1310,56,18,Warning
well,rural,603,83,2,Warning
well,urban,559,83,18,Unsafe
well,urban,277,5,4,Safe
tanker,rural,1130,41,20,Unsafe
well,urban,709,47,18,Warning
borewell,semi-urban,1209,71,20,Warning
pond,urban,381,80,16,Unsafe
borewell,rural,1013,49,14,Safe
tap,urban,918,41,12,Safe
well,semi-urban,282,80,9,Warning
tap,urban,790,48,5,Safe
borewell,rural,434,40,2,Safe
river,rural,1113,31,2,Warning
tap,semi-urban,1375,48,11,Safe
river,semi-urban,412,9,3,Warning
pond,urban,915,49,15,Unsafe
river,rural,507,63,1,Warning
tap,semi-urban,1299,87,7,Safe
tap,urban,1340,51,18,Safe
pond,rural,1073,98,4,Unsafe
well,semi-urban,259,12,14,Warning
pond,rural,1253,40,3,Warning
pond,urban,848,58,16,Unsafe
tap,urban,1382,51,10,Safe
river,semi-urban,279,29,13,Warning
tanker,rural,569,73,20,Unsafe
river,urban,1424,2,8,Warning
river,semi-urban,485,58,8,Unsafe
tanker,semi-urban,1358,0,17,Warning
pond,urban,726,59,14,Unsafe
borewell,urban,230,98,1,Warning
river,rural,1100,26,9,Warning
borewell,urban,1460,82,6,Safe
borewell,urban,768,84,3,Safe
pond,rural,352,53,3,Unsafe
well,semi-urban,137,26,7,Warning
tap,semi-urban,281,49,17,Safe
river,rural,1365,21,2,Warning
tap,urban,484,74,7,Safe
river,urban,647,60,18,Unsafe
river,rural,502,68,13,Unsafe
tanker,urban,580,62,13,Unsafe
tanker,rural,846,59,4,Warning
river,rural,495,78,12,Unsafe
well,semi-urban,1110,81,9,Warning
tap,urban,897,24,14,Safe
river,rural,1273,14,11,Warning
borewell,urban,1346,66,12,Warning
borewell,semi-urban,1045,15,9,Safe
river,semi-urban,765,55,10,Unsafe
borewell,rural,313,52,18,Warning
river,semi-urban,823,33,15,Unsafe
tanker,rural,968,23,1,Warning
borewell,semi-urban,1308,89,20,Warning
river,semi-urban,798,26,1,Warning
river,rural,928,72,17,Unsafe
tanker,semi-urban,233,93,19,Unsafe
river,semi-urban,1410,99,15,Unsafe
pond,rural,362,36,5,Warning
pond,semi-urban,854,55,12,Unsafe
borewell,semi-urban,884,68,7,Safe
borewell,rural,580,57,13,Safe
tanker,semi-urban,141,45,3,Warning
well,semi-urban,1449,55,10,Warning
borewell,semi-urban,1306,99,17,Warning
pond,semi-urban,634,33,13,Unsafe
pond,semi-urban,692,68,6,Unsafe
borewell,rural,198,90,19,Warning
tanker,urban,1212,43,17,Unsafe
tap,urban,360,87,3,Safe
river,semi-urban,1185,59,4,Unsafe
borewell,semi-urban,1444,13,2,Safe
well,rural,709,35,15,Warning
river,semi-urban,783,56,7,Unsafe
borewell,semi-urban,1097,72,12,Warning
borewell,semi-urban,534,17,17,Safe
tanker,rural,781,78,3,Warning
well,urban,653,12,14,Warning
tanker,urban,913,19,20,Warning
tap,rural,894,8,9,Safe
well,rural,146,3,2,Safe
tanker,rural,680,93,11,Unsafe
river,urban,561,69,13,Unsafe
borewell,rural,1480,20,7,Safe
tap,semi-urban,529,61,1,Safe
well,rural,820,61,18,Warning
borewell,semi-urban,1003,22,7,Safe
river,urban,478,82,11,Unsafe
tanker,urban,529,87,15,Unsafe
tap,semi-urban,429,9,18,Safe
tap,urban,783,62,12,Safe
river,rural,1382,96,18,Unsafe
borewell,semi-urban,1143,31,13,Safe
tanker,rural,362,98,4,Unsafe
tap,urban,973,34,17,Safe
pond,rural,886,94,7,Unsafe
tanker,semi-urban,944,100,5,Unsafe
pond,rural,401,47,15,Unsafe
river,urban,547,69,4,Unsafe
tap,semi-urban,1475,22,5,Safe
tanker,semi-urban,385,10,14,Warning
well,rural,1410,55,20,Warning
tanker,semi-urban,952,15,16,Warning
pond,semi-urban,650,6,19,Unsafe
river,semi-urban,1075,88,3,Unsafe
pond,urban,1048,70,5,Unsafe
river,semi-urban,391,22,1,Warning
well,urban,542,4,8,Warning
well,semi-urban,303,78,9,Warning
pond,urban,752,20,16,Unsafe
river,urban,472,67,17,Unsafe
pond,urban,655,97,11,Unsafe
well,semi-urban,1126,39,10,Warning
pond,urban,1048,45,13,Unsafe
borewell,urban,1086,87,4,Safe
pond,semi-urban,465,97,14,Unsafe
river,rural,779,30,19,Unsafe
tanker,rural,1061,72,19,Unsafe
pond,urban,478,75,9,Unsafe
well,urban,968,52,20,Warning
borewell,rural,1017,32,18,Safe
well,semi-urban,560,34,14,Warning
tanker,urban,1046,66,18,Unsafe
borewell,rural,836,16,17,Safe
borewell,rural,908,72,9,Safe
pond,urban,1204,68,13,Unsafe
river,rural,421,25,19,Unsafe
tap,rural,1441,53,10,Safe
tanker,semi-urban,704,5,15,Warning
tap,semi-urban,642,100,9,Warning
river,urban,448,72,6,Unsafe
river,urban,190,17,16,Warning
well,rural,108,2,7,Warning
borewell,urban,1395,84,17,Warning
well,semi-urban,1118,49,9,Warning
tanker,rural,779,42,14,Warning
pond,rural,325,7,5,Warning
tanker,semi-urban,977,26,1,Warning
tanker,rural,831,51,9,Warning
borewell,urban,1118,40,13,Safe
river,rural,813,65,18,Unsafe
tap,urban,510,50,7,Safe
pond,urban,626,49,4,Unsafe
pond,rural,644,24,7,Warning
tap,semi-urban,778,14,1,Safe
well,rural,191,71,10,Warning
